titre,entreprise,lieu,pays,salaire_min,salaire_max,salaire_devise,remote,contrat,description,lien,date_offre,date_scraping,source
Lead Data Engineer H/F,Safran Nacelles,Gonfreville-l'Orcher,FR,,,EUR,False,À plein temps,"Au sein du pôle Data de la Digital Factory, vous jouerez un rôle clé dans le pilotage et la mise en œuvre des solutions data de l'entreprise.
Vous interviendrez dans un environnement cloud, agile et multiculturel, en lien étroit avec les équipes Métiers, Data, IT et DevOps.",https://www.safran-group.com/fr/offres/france/gonfreville-orcher/data-ingenieur-fh-160222,2026-04-22,2026-04-24,jsearch
Data Engineer TERADATA ET BIGDATA,WE +,FR,FR,,,EUR,False,À plein temps et Prestataire,"• vous contribuerez à la construction des solutions Datalab et Datamart sous technologie Teradata, en étroite collaboration avec les autres membres de la Tribu
• vous aurez en charge le développement des solutions de collecte des données, de leur stockage et traitement (constitution d’agrégats ou scores), et de leur mise à disposition des DataScientists : une expérience des environnements Unix, du sql et des SGDB relationnels est indispensable ainsi que des bonnes pratiques de développement et m",https://www.free-work.com/fr/tech-it/data-engineer/job-mission/data-engineer-teradata-et-biigdata,2026-04-03,2026-04-24,jsearch
Data Engineer F/H,Orange Business,Cesson-Sévigné,FR,,,EUR,False,À plein temps,"Publication date : Jan 21, 2026, 12:00AM
Orange Business est un intégrateur réseau et numérique qui comprend toute la chaîne de valeur du monde digital, permettant à nos clients de se concentrer sur les initiatives stratégiques qui font avancer leur business. Chaque jour, vous collaborerez avec une équipe dédiée à la livraison de solutions globales cohérentes et durables, peu importe où nos clients opèrent. Avec plus de 30 000 salariés en Europe, Asie, Amérique et Afrique, nous proposons un envi",https://orange.jobs/gb/en/job/IOS-2026-1808/Data-Engineer-F-H,2026-03-31,2026-04-24,jsearch
CDI - Data Engineer Junior H/F,Generali France,Saint-Denis,FR,,,EUR,False,À plein temps,"Détail du poste

Generali

Avec plus de 71 millions de clients et un chiffre d'affaires de 95,2 milliards d'euros en 2024, Generali est l'un des leaders de l'assurance et de la gestion d'actifs dans le monde. Assureur responsable, nous plaçons la durabilité au coeur de notre stratégie.

Notre direction

La Direction Marketing, Communication et Durabilité soutient les marchés, réseaux de distribution et les fonctions support dans la réalisation de leurs objectifs de développement en déployant des",https://www.hellowork.com/fr-fr/emplois/74479601.html,2026-04-19,2026-04-24,jsearch
Senior Data Analyst (H/F),AZIRA,Paris,FR,,,EUR,False,À plein temps,"Nous recherchons un Sr Data Analyst pour renforcer notre équipe Data. Ce rôle clé consiste à garantir la fiabilité, la performance et la valeur de nos données marketing et programmatiques. Le poste se situe à l'intersection de l'analyse de données, de l'analyse de performance et de la publicité digitale (programmatique, DOOH, DSP, etc.). Vous accompagnerez les équipes commerciales, opérationnelles et produit dans leurs prises de décisions stratégiques et leurs optimisations quotidiennes. Respons",https://candidat.francetravail.fr/offres/recherche/detail/206YNPL,2026-04-23,2026-04-24,jsearch
Data Analyst (CDD 12 mois),AbbVie FR,Boulogne-Billancourt,FR,,,EUR,False,À plein temps,"Description de l'entreprise

La mission d'AbbVie est de découvrir et de mettre à disposition des thérapies et des solutions innovantes qui permettent de répondre à des maladies graves d’aujourd’hui, et de relever les défis médicaux de demain. Nous nous efforçons d'avoir un impact remarquable sur la vie des patients dans plusieurs aires thérapeutiques clés majeures : immunologie, ophtalmologie, oncologie, neurosciences et virologie, ainsi qu’en médecine esthétique avec les produits et services de",https://careers.abbvie.com/fr/job/data-analyst-cdd-12-mois-in-boulogne-billancourt-idf-jid-27456,2026-04-23,2026-04-24,jsearch
Data Analyst H/F,Thales,Pecqueuse,FR,,,EUR,False,À plein temps,"Lieu : Limours, France

Construisons ensemble un avenir de confiance

Thales est un leader mondial des hautes technologies spécialisé dans trois secteurs d’activité : Défense & Sécurité, Aéronautique & Spatial, et Cyber & Digital. Il développe des produits et solutions qui contribuent à un monde plus sûr, plus respectueux de l’environnement et plus inclusif. Le Groupe investit près de 4 milliards d’euros par an en Recherche & Développement, notamment dans des domaines clés de l’innovation tels q",https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-thales-4405692877,2026-04-23,2026-04-24,jsearch
Data Analyst,GEC _ Global Experts Consulting,Chennevières-sur-Marne,FR,,,EUR,False,Prestataire,"Dans le cadre du développement de son écosystème data, notre client, acteur majeur du secteur des paiements, recherche un Data Analyst afin de renforcer son équipe dédiée aux données monétiques.

Intégré à une équipe d’une dizaine de collaborateurs, le consultant interviendra au cœur des enjeux de valorisation de la donnée, en lien étroit avec les équipes métiers et les autres équipes data.

Contexte de la mission

L’équipe a pour mission de fournir des données fiables et exploitables liées aux ",https://fr.linkedin.com/jobs/view/data-analyst-at-gec-global-experts-consulting-4404799840,2026-04-23,2026-04-24,jsearch
Offre n° 1694547 Data analyst (H/F),France Travail,Paris,FR,,,EUR,False,Stage,"PRÉSENTATION DE L’ORGANISATION Avec ses filiales et ses partenaires stratégiques, la Caisse des Dépôts constitue le premier pôle financier public. Investisseur de long terme au service de l'intérêt général et du développement économique du pays, la Caisse des Dépôts se charge de plusieurs missions, dont la protection de l'épargne populaire, le financement et soutien du logement social, la gestion des mandats publics, l'accompagnement des Français dans leurs parcours de vie et la contribution au ",https://bebee.com/fr/jobs/offre-n-1694547-data-analyst-france-travail-paris--techmap_fr_1694547,2026-04-21,2026-04-24,jsearch
Data Analyst X/ F/H,APEC - Offres Gratuites,Le Havre,FR,,,EUR,False,À plein temps,"Description du poste
  Ce que vous ferez : 

Vous travaillerez sur des missions enrichissantes au cœur de la transformation digitale et industrielle, en étroite collaboration avec des équipes pluridisciplinaires.

• Analyser des données complexes provenant de différentes sources pour fournir des insights stratégiques.

• Créer, développer, et maintenir des tableaux de bord et des rapports pour aider à la prise de décision.

• Collaborer avec les équipes techniques et opérationnelles pour compren",https://www.meteojob.com/jobs/53525838,2026-04-22,2026-04-24,jsearch
