titre,entreprise,lieu,remote,description,lien,tags,date_scraping,source
"Personalsachbearbeiter / Entgeltabrechner (w/m/d) in spannendem, attraktivem Unternehmen!",Fischer & Partner Gesellschaft für Personal mbH,Winnenden,False,"<p>Für ein regional fest verwurzeltes und sehr bekanntes Unternehmen mit Sitz <strong>im Raum Winnenden</strong> und ca. 500 Mitarbeitenden suchen wir für Sie als</p>
<p><strong>ENTGELTABRECHNERIN (W/",https://www.arbeitnow.com/jobs/companies/fischer-partner-gesellschaft-fur-personal-mbh/personalsachbearbeiter-entgeltabrechner-in-spannendem-attraktivem-unternehmen-winnenden-124043,Compensation and Benefits,2026-05-02,arbeitnow
Duales Studium - Informatik / Wirtschaftsinformatik (m/w/d),FinMent GmbH,Berlin,False,"<p><strong>Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!”</strong></p>
<p>Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. ",https://www.arbeitnow.com/jobs/companies/finment-gmbh/duales-studium-informatik-wirtschaftsinformatik-berlin-102145,Web Development,2026-05-02,arbeitnow
SAP S/4HANA Inhouse Specialist (m/w/d),hubside - Die Recruitingwerkstatt,Munich,False,"<p>Sie möchten nicht nur Systeme betreuen, sondern aktiv die digitale Zukunft eines Unternehmens mitgestalten? Dann erwartet Sie hier eine Position, in der Sie Ihre SAP S/4HANA-Expertise gezielt einbr",https://www.arbeitnow.com/jobs/companies/hubside-die-recruitingwerkstatt/sap-s-4hana-inhouse-specialist-munich-425623,IT,2026-05-02,arbeitnow
Fullstack Application Developer (m/w/d),syte GmbH,Münster,False,"<h2>Deine Mission</h2>
<p><strong>Gestalte, wie Immobilienprofis die Zukunft der Projektentwicklung erleben.</strong></p>
<p>Die Software von syte unterstützt Projektentwickler, Planer und Investoren ",https://www.arbeitnow.com/jobs/companies/syte-gmbh/fullstack-application-developer-munster-264870,IT,2026-05-02,arbeitnow
Testautomatisierer (m/w/d),citema systems GmbH,Munich,False,"<p><strong>Driving Digital Technologies.</strong><br>
Den digitalen Wandel begleiten und aktiv mitgestalten – unsere Mission bei citema. Mit unseren innovativen Ansätzen beraten und unterstützen wir u",https://www.arbeitnow.com/jobs/companies/citema-systems-gmbh/testautomatisierer-munich-430306,IT,2026-05-02,arbeitnow
Junior Online Marketing (m/w/d),FinMent GmbH,Berlin,False,"<p><strong>Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!”</strong></p>
<p>Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. ",https://www.arbeitnow.com/jobs/companies/finment-gmbh/junior-online-marketing-berlin-110785,Marketing and Communication,2026-05-02,arbeitnow
Junior Content Manager (m/w/d),FinMent GmbH,Berlin,False,"<p><strong>Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!”</strong></p>
<p>Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. ",https://www.arbeitnow.com/jobs/companies/finment-gmbh/junior-content-manager-berlin-431948,Marketing and Communication,2026-05-02,arbeitnow
SEA Paid Media Manager / Strategischer Account Manager (m/w/d),Klickkonzept by Labelium,Frankfurt am Main,False,"<p><strong>Hallo!</strong><br>
<strong>Schön, dass du hier bist.</strong><br>
Wir sind Klickkonzept, Teil der internationalen Cosmo5-Gruppe. Als KI-orientierte Performance-Agentur entwickeln wir in Fr",https://www.arbeitnow.com/jobs/companies/klickkonzept-by-labelium/sea-paid-media-manager-strategischer-account-manager-frankfurt-am-main-162438,Online Marketing,2026-05-02,arbeitnow
Referent*in Finance & Controlling,SÜSS Beratende Ingenieure,Nuremberg,False,"<p>Du möchtest nicht nur buchen, sondern Projekte wirtschaftlich begleiten? <br>
Du suchst eine verantwortungsvolle kaufmännische Rolle mit direkter Anbindung an Management und Projektleitung?</p>
<p>",https://www.arbeitnow.com/jobs/companies/suss-beratende-ingenieure/referentin-finance-controlling-nuremberg-308093,Controlling,2026-05-02,arbeitnow
SAP Senior SCM Berater Retail/Fashion,Nothegger Personalberatung,Schwandorf,False,"<p>Our client, a trading company with a long tradition and located near Schwandorf, is looking for reinforcement! The nearly 4,000 employees give their best every day to create an extremely family-lik",https://www.arbeitnow.com/jobs/companies/nothegger-personalberatung/sap-senior-scm-berater-retail-fashion-schwandorf-125000,"SAP/ERP Consulting, Development",2026-05-02,arbeitnow
Content Marketing Manager (m/w/d),FinMent GmbH,Berlin,False,"<p><strong>Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!”</strong></p>
<p>Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. ",https://www.arbeitnow.com/jobs/companies/finment-gmbh/content-marketing-manager-berlin-288500,Marketing and Communication,2026-05-02,arbeitnow
Online Marketing (m/w/d),FinMent GmbH,Berlin,False,"<p><strong>Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!”</strong></p>
<p>Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. ",https://www.arbeitnow.com/jobs/companies/finment-gmbh/online-marketing-berlin-384716,Marketing and Communication,2026-05-02,arbeitnow
Online Marketing Trainee (m/w/d) SEA & Paid Media,Klickkonzept by Labelium,Frankfurt am Main,False,"<p><strong>Hallo!</strong><br>
<strong>Wir sind Klickkonzept.</strong> Eine datengetriebene, KI-orientierte Online-Marketing-Agentur im Herzen von Frankfurt. Als Teil der internationalen Cosmo5-Gruppe",https://www.arbeitnow.com/jobs/companies/klickkonzept-by-labelium/online-marketing-trainee-sea-paid-media-frankfurt-am-main-428637,Online Marketing,2026-05-02,arbeitnow
Werkstudent (m/w/d)  Prozessdigitalisierung / Power Apps / Low-Code,Weldebräu GmbH & Co. KG,Plankstadt,False,"<p><strong>Gestalte mit uns die digitale Zukunft einer Brauerei</strong></p>
<p>Wir bei Welde wollen unser Unternehmen organisatorisch und technisch auf das nächste Level heben. Dafür suchen wir einen",https://www.arbeitnow.com/jobs/companies/weldebrau-gmbh-co-kg/werkstudent-prozessdigitalisierung-power-apps-low-code-plankstadt-428143,Process Management,2026-05-02,arbeitnow
(Senior) Product Designer (m/f/d),1KOMMA5˚,Berlin,False,"<h2>1KOMMA5°</h2>
<p>At <strong>1KOMMA5°</strong>, we pursue a clear vision: <strong>Living on wind and sunlight forever for free</strong>. To make this a reality, we are building the energy system of",https://www.arbeitnow.com/jobs/companies/1komma50/senior-product-designer-berlin-7188,Software Development,2026-05-02,arbeitnow
Duales Studium - Softwareentwicklung (m/w/d),FinMent GmbH,Berlin,False,"<p><strong>Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!”</strong></p>
<p>Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. ",https://www.arbeitnow.com/jobs/companies/finment-gmbh/duales-studium-softwareentwicklung-berlin-40428,Web Development,2026-05-02,arbeitnow
Werkstudent (m/w/d) Video Creation & Editing (m/w/d) - 100 % Homeoffice,Nutrition-Plus Germany e.K.,Grafschaft,True,"<p>Wir bei nutri+ glauben an eine Welt, in der Tiere respektiert werden und niemand zurückgelassen wird. Deshalb setzen wir uns nicht nur für hochwertige vegane Produkte ein, sondern unterstützen akti",https://www.arbeitnow.com/jobs/companies/nutrition-plus-germany-ek/werkstudent-video-creation-editing-100-homeoffice-grafschaft-86295,"Remote, Online Marketing",2026-05-02,arbeitnow
Systems Engineer (m/w/x) ComInt und C-ESM,K-tronik GmbH,Nuremberg,False,"<h2>Projektbeschreibung:</h2>
<p>Technologie begeistert Sie? Uns auch! Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Verteidigungsbranche suchen wir einen Systems Engineer (m/w/d) C",https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/systems-engineer-comint-und-c-esm-nuremberg-70057,Engineering,2026-05-02,arbeitnow
"Scientific or Medical Co-Founder, Berlin & Erfurt",OhMyV GmbH,Berlin,False,"<p>OhMyV is an early-stage biotech startup reinventing sexual health prevention, building microbiome-safe STI prevention and contraception designed specifically for vulva health. We have a product in ",https://www.arbeitnow.com/jobs/companies/ohmyv-gmbh/scientific-or-medical-co-founder-berlin-erfurt-103429,"Directors, Chief Executives",2026-05-02,arbeitnow
Fullstack Developer (m/f/d),Würth Cloud Services GmbH,Berlin,False,"<p>Würth Cloud Services GmbH is a dynamic and rapidly growing startup within the Würth Group. As a spin-off of the global market leader Würth, we combine the best of both worlds: experience and contin",https://www.arbeitnow.com/jobs/companies/wurth-cloud-services-gmbh/fullstack-developer-berlin-480697,Software Development,2026-05-02,arbeitnow
Fachplaner Elektrotechnik im Ingenieurbüro (m/w/d),ETB Solution GmbH,Naumburg,False,"<p>Wir, die <strong>ETB Solution GmbH</strong>, sind ein Start-Up Generalplaner für Energie-, Gebäude- und Umwelttechnik. Neu als Ingenieurbüro in Lutherstadt-Wittenberg und Naumburg - und doch mit ja",https://www.arbeitnow.com/jobs/companies/etb-solution-gmbh/fachplaner-elektrotechnik-im-ingenieurburo-naumburg-483593,"Building, Supply, Safety Services Engineering",2026-05-02,arbeitnow
Werkstudent Marketing (w/m/d) remote,PIMA Health Group GmbH,Berlin,True,"<p>PIMA ist der richtige Partner, um Mitarbeiter und Unternehmen gesund erfolgreich zu machen! Wir kümmern uns in allen gesetzlichen, branchenspezifischen und individuellen Belangen ganzheitlich um di",https://www.arbeitnow.com/jobs/companies/pima-health-group-gmbh/werkstudent-marketing-remote-berlin-465676,"Remote, Marketing Assistant",2026-05-02,arbeitnow
SAP BTP Solution Architect (m/w/d) Inhouse,Nothegger Personalberatung,Tauberbischofsheim,False,"<p>Für ein renommiertes Unternehmen aus der Industriebranche suchen wir einen erfahrenen SAP BTP Solution Architect (m/w/d) für eine Inhouse-Rolle.</p>
<h2>Aufgaben</h2>
<ul>
<li>Konzeption moderner S",https://www.arbeitnow.com/jobs/companies/nothegger-personalberatung/sap-btp-solution-architect-inhouse-tauberbischofsheim-25414,"SAP/ERP Consulting, Development",2026-05-02,arbeitnow
Senior Software Engineer Embedded Systems (m/w/d),IBV - Echtzeit- und Embedded GmbH & Co. KG,Augsburg,False,<p>IBV ist spezialisiert auf High-End Software-Dienstleistungen im technischen Markt. Wir bringen eine breite Expertise in den Bereichen Embedded-Systeme und Echtzeit-Anwendungen mit. Unsere Dienstlei,https://www.arbeitnow.com/jobs/companies/ibv-echtzeit-und-embedded-gmbh-co-kg/senior-software-engineer-embedded-systems-augsburg-54354,"Embedded Systems, Firmware Development",2026-05-02,arbeitnow
Entwickler:in,SWAN GmbH,Nuremberg,False,"<p>Klingt nach einem <strong>Match</strong>, wenn <strong>ABAP</strong> und <strong>SAP EWM</strong> für dich mehr als nur Buzzwords sind, oder?</p>
<p>Dann entwickle mit uns <strong>SAP EWM Lösungen<",https://www.arbeitnow.com/jobs/companies/swan-gmbh/entwicklerin-nuremberg-475267,Software Development,2026-05-02,arbeitnow
Praktikum Automations & KI (m/w/d),Digital Trendteam,Mainz,True,"<p>Du hast schon erste Berührungspunkte mit Automatisierungen, KI oder digitalen Workflows gehabt — und willst jetzt sehen, wie das Ganze in einem echten Unternehmen angewendet wird?</p>
<p>Dann komm ",https://www.arbeitnow.com/jobs/companies/digital-trendteam/praktikum-automations-ki-mainz-59839,"Remote, Process Management",2026-05-02,arbeitnow
Clusterleitung CU Nord (m/w/d),Composites United e.V.,Stade,False,"<p><strong>Inspirierend und sinnstiftend</strong><br>
Sie verbinden gerne Menschen, bringen Innovationen ins Rollen und denken vernetzt?<br>
Dann gestalten Sie mit uns die Zukunft der Hochleistungs-Fa",https://www.arbeitnow.com/jobs/companies/composites-united-ev/clusterleitung-cu-nord-stade-123469,Engineering,2026-05-02,arbeitnow
Senior Data Engineer,TrustYou,Munich,True,"<p><strong>Senior Data Engineer</strong></p>
<p><strong>Location:</strong> Germany / Spain / Romania (Remote)</p>
<p><strong>The Role</strong></p>
<p>As a Senior Data Engineer, you will drive the end-",https://www.arbeitnow.com/jobs/companies/trustyou/senior-data-engineer-munich-176349,"Remote, Data Processing, Data Engineer",2026-05-02,arbeitnow
Quereinsteiger/in im Vertrieb - Vollzeit (m/w/d),ESH StB-Examensvorbereitung GmbH,Hamburg,False,"<p><strong>Wir suchen neue Mitarbeiter (m/w/d) für den Bereich Kundenberatung, die uns dabei unterstützen, den Kontakt mit unseren Interessenten zu halten, potenzielle Kunden vorzuqualifizieren und di",https://www.arbeitnow.com/jobs/companies/esh-stb-examensvorbereitung-gmbh/quereinsteiger-in-im-vertrieb-vollzeit-hamburg-282407,Consulting,2026-05-02,arbeitnow
SAP - Spezialist:in,SWAN GmbH,Giebelstadt,False,"<p>Wir suchen <strong>SAP ABAP Developer (m/w/d)</strong> mit Fokus <strong>Logistik</strong>, die nicht nur <strong>Code</strong> schreiben, sondern wirklich etwas <strong>bewegen</strong> wollen, im",https://www.arbeitnow.com/jobs/companies/swan-gmbh/sap-spezialistin-giebelstadt-188210,Information Systems,2026-05-02,arbeitnow
Kundenberater/in - Vollzeit (m/w/d),ESH StB-Examensvorbereitung GmbH,Hamburg,False,"<p><strong>Wir suchen neue Mitarbeiter (m/w/d) für den Bereich Kundenberatung, die uns dabei unterstützen, den Kontakt mit unseren Interessenten zu halten, potenzielle Kunden vorzuqualifizieren und di",https://www.arbeitnow.com/jobs/companies/esh-stb-examensvorbereitung-gmbh/kundenberater-in-vollzeit-hamburg-389934,Consulting,2026-05-02,arbeitnow
Technische Leitung (m/w/d) & Schwerpunkt Event Planung,Westhafen Leipzig,Leipzig,False,"<p>Der <strong>Westhafen Leipzig</strong> ist eine vielseitige Eventlocation mit Festival-Charakter: 4 <strong>Floors (4 Indoor, 2 Outdoor)</strong>, bis zu 2.000 Gäste und ein stark wachsendes Eventp",https://www.arbeitnow.com/jobs/companies/westhafen-leipzig/technische-leitung-schwerpunkt-event-planung-leipzig-136272,"Management, Team Leader",2026-05-02,arbeitnow
Buchhaltung & Automatisierung im Minijob (m/w/d),Digital Trendteam,Mainz,True,"<p>Du hast Bock auf Zahlen, Struktur und digitale Tools?</p>
<p>Perfekt — wir suchen jemanden, der unsere Buchhaltung nicht nur „mitmacht“, sondern smarter macht. 🚀</p>
<p>Wir sind Digital Trendteam &",https://www.arbeitnow.com/jobs/companies/digital-trendteam/buchhaltung-automatisierung-im-minijob-mainz-88666,"Remote, Process Management",2026-05-02,arbeitnow
Monetisation and LiveOps Lead (f/m/d),The Jodel Venture,Berlin,False,"<p>WHO WE ARE</p>
<p><strong>Jodel is the world’s hyperlocal community.</strong><br>
Our vision is that you can open Jodel at any time and anywhere in the world, to easily talk and connect with people",https://www.arbeitnow.com/jobs/companies/the-jodel-venture/monetisation-and-liveops-lead-berlin-393542,Product Management,2026-05-02,arbeitnow
Werkstudent (m/w/d) Content Marketing & Growth,bd operations GmbH,Augsburg,False,"<p>Stell dir vor, du fährst mit dem Auto durch Europa, ohne dir Gedanken über Maut, Vignetten oder komplizierte Bezahlprozesse machen zu müssen. Genau daran arbeiten wir bei vintrica jeden Tag.</p>
<p",https://www.arbeitnow.com/jobs/companies/bd-operations-gmbh/werkstudent-marketing-content-growth-augsburg-255724,Online Marketing,2026-05-02,arbeitnow
Werkstudent/in GTM Content & Sales Enablement (m/w/d),Northbound,Berlin,False,"<p><strong>Erste Content-Rolle bei Northbound. Du machst aus internem Wissen konkrete Inhalte, die unseren Vertrieb stärker und uns sichtbarer machen.</strong></p>
<p>Dazu nutzt du Voice Notes vom Fou",https://www.arbeitnow.com/jobs/companies/northbound/werkstudent-in-gtm-content-sales-enablement-berlin-169768,Distribution Marketing,2026-05-02,arbeitnow
Bauleiter (m/w/d) Technische Gebäudeausrüstung Standort Ratingen,Kögel Bau GmbH & Co. KG,Ratingen,False,"<p>Du hast Lust auf Verantwortung, Zusammenarbeit mit einem starken Team und spannende Baustellen? Dann suchen wir genau Dich:</p>
<h2>Aufgaben</h2>
<p>DEINE MISSION: PROJEKTE STEUERN, DIE BEWEGEN</p>",https://www.arbeitnow.com/jobs/companies/kogel-bau-gmbh-co-kg/bauleiter-technische-gebaudeausrustung-standort-ratingen-369799,"Building, Supply, Safety Services Engineering",2026-05-02,arbeitnow
Werkstudent*in Photography & Visual AI (m/w/d),benuta GmbH,Bonn,False,"<h2>Jobbeschreibung</h2>
<p>Du willst Fotografie und generative Bild-KI kreativ verbinden und dabei visuelle Welten erschaffen, die begeistern? Dann bist du bei benuta genau richtig! Seit 2008 begeist",https://www.arbeitnow.com/jobs/companies/benuta-gmbh/werkstudentin-photography-visual-ai-bonn-247778,Product Management,2026-05-02,arbeitnow
Senior Go Consultant / Engineer (m/w/d),Hackstack GmbH,Munich,True,"<p><strong>Hackstack Collective</strong> verbindet außergewöhnliche Talente mit Organisationen, die digitale Souveränität ernst nehmen. Aktuell suchen wir für unsere Partner einen Go Experten der High",https://www.arbeitnow.com/jobs/companies/hackstack-gmbh/senior-go-consultant-engineer-munich-341776,"Remote, Consulting, Engineering",2026-05-02,arbeitnow
VIP Customer Support Specialist (m/w/d) - Gaming Community,Whow Games GmbH,Hamburg,False,"<p><strong>Wir sind Whow Games - und DU kannst es werden!</strong></p>
<p>Wir, das sind mehr als 50 Menschen aus verschiedensten Nationen. Leidenschaftliche Gamer, erfahrene Spieleentwickler und Marke",https://www.arbeitnow.com/jobs/companies/whow-games-gmbh/vip-customer-support-specialist-gaming-community-hamburg-3626,"CRM, Direct Marketing",2026-05-02,arbeitnow
Kaufmännischer Geschäftsführer (w/m/d),EterniTeam GmbH,Augsburg,False,"<p><strong>Wer sind wir?</strong></p>
<p>EterniTeam hat die Lösung für Deutschlands größtes Problem im Unternehmertum: <strong>die Unternehmensnachfolge.</strong> Mit einem neuen, revolutionären Ansat",https://www.arbeitnow.com/jobs/companies/eterniteam-gmbh/kaufmannischer-geschaftsfuhrer-augsburg-321391,"Directors, Chief Executives",2026-05-02,arbeitnow
Senior Rust Consultant / Engineer (m/w/d),Hackstack GmbH,Munich,True,"<p><strong>Hackstack Collective</strong> verbindet außergewöhnliche Talente mit Organisationen, die digitale Souveränität ernst nehmen. Aktuell suchen wir für unsere Partner einen Rust Experten der Hi",https://www.arbeitnow.com/jobs/companies/hackstack-gmbh/senior-rust-consultant-engineer-munich-451602,"Remote, Consulting, Engineering",2026-05-02,arbeitnow
Kaufmännischer Geschäftsführer (w/m/d) - KFZ Betrieb,EterniTeam GmbH,Augsburg,False,"<p><strong>Wer sind wir?</strong></p>
<p>EterniTeam hat die Lösung für Deutschlands größtes Problem im Unternehmertum: <strong>die Unternehmensnachfolge.</strong> Mit einem neuen, revolutionären Ansat",https://www.arbeitnow.com/jobs/companies/eterniteam-gmbh/kaufmannischer-geschaftsfuhrer-kfz-betrieb-augsburg-414475,"Directors, Chief Executives",2026-05-02,arbeitnow
Controlling Specialist (gn),Jupiter Elevate,Ingolstadt,False,"<p>Für ein etabliertes Unternehmen im Umfeld Immobilien und technischer Dienstleistungen suche ich aktuell einen Controlling Specialist (gn), der Zahlen nicht nur analysiert, sondern versteht, was dah",https://www.arbeitnow.com/jobs/companies/jupiter-elevate/controlling-specialist-gn-ingolstadt-117436,Controlling,2026-05-02,arbeitnow
Steuerberater (m/w/d) in Voll- oder Teilzeit,Personalberatung Susan Lange,Rostock,False,"<p>Die Personalberatung Susan Lange in Rostock ist spezialisiert auf die Direktsuche und Vermittlung von Fach- und Führungskräften. Für Bewerber ist unser Service kostenfrei.</p>
<p>Im Auftrag unseres",https://www.arbeitnow.com/jobs/companies/personalberatung-susan-lange/steuerberater-in-voll-oder-teilzeit-rostock-72527,Finance,2026-05-02,arbeitnow
Praktikum im Rahmen einer Umschulung (Marketing oder E-Commerce) (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,False,<p>In der Rolle des <strong>Marketing Managers</strong> kalkulierst und steuerst du die Werbebudgets unserer Kunden. Ziel ist es die bestmögliche Sichtbarkeit mit einem vorgegebenen Budget zu erreiche,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/praktikum-im-rahmen-einer-umschulung-marketing-oder-e-commerce-stuttgart-11248,Marketing and Communication,2026-05-02,arbeitnow
Software Developer Rust (m/w/d) Essen / München | Security-Software,INDIE Solutions GmbH,Essen,False,<p>Für ein technologisch anspruchsvolles Umfeld im Bereich IT-Sicherheit wird Verstärkung für ein agiles Entwicklungsteam gesucht. Im Mittelpunkt steht die Weiterentwicklung eines zentralen Systems zu,https://www.arbeitnow.com/jobs/companies/indie-solutions-gmbh/software-developer-rust-essen-munchen-security-software-325539,Software Development,2026-05-02,arbeitnow
Grafikdesigner (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,False,"<p>Wir haben auch kein Bock mehr auf glattgebügelte Stellenbeschreibungen,weshalb du diese unbedingt lesen solltest ‼️</p>
<p>Erstmal vorab: Ja, wir haben einen Obstkorb, gratis Kaffee, einen Tischkic",https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/grafikdesigner-stuttgart-119206,Marketing and Communication,2026-05-02,arbeitnow
Pflichtpraktikum Online Marketing Manager (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,False,<p>In der Rolle des <strong>Online</strong> <strong>Marketing Managers</strong> kalkulierst und steuerst du die Werbebudgets unserer Kunden. Ziel ist es die bestmögliche Sichtbarkeit mit einem vorgege,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/pflichtpraktikum-online-marketing-manager-stuttgart-280252,Marketing and Communication,2026-05-02,arbeitnow
Pflichtpraktikum im Bereich Grafikdesign (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,False,"<p>Wir suchen dich für ein spannendes <strong>Praktikum im Grafikdesign</strong>, um unser Team bei der Entwicklung kreativer und ansprechender Designs für unsere Kunden zu unterstützen. Du wirst visu",https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/pflichtpraktikum-im-bereich-grafikdesign-stuttgart-440937,Marketing and Communication,2026-05-02,arbeitnow
Online Marketing Manager (m/w/d),eFLY Marketplace Services GmbH,Stuttgart,False,<p>In der Rolle des <strong>Online Marketing Managers</strong> kalkulierst und steuerst du die Werbebudgets unserer Kunden. Ziel ist es die bestmögliche Sichtbarkeit mit einem vorgegebenen Budget zu e,https://www.arbeitnow.com/jobs/companies/efly-marketplace-services-gmbh/online-marketing-manager-stuttgart-468159,Marketing Manager,2026-05-02,arbeitnow
BC Spezialist (m/w/d),S&L Connect GmbH,Schönefeld,False,<p>S&#x26;L Connect ist ein auf Agrartechnik sowie Rasen- und Grundstückspflege spezialisiertes Unternehmen und offizieller Partner von John Deere. Als verlässlicher Ansprechpartner stehen wir für lan,https://www.arbeitnow.com/jobs/companies/sl-connect-gmbh/bc-spezialist-schonefeld-277950,"Consulting, Engineering",2026-05-02,arbeitnow
Working Student Content & Creation (m/f/d),L1VE GmbH,Berlin,False,"<h2>Ihre Aufgaben</h2>
<p><strong>As a working student (m/f/d) in Content &#x26; Creation</strong>, you’ll support the team with creative processes and the coordination of productions in the Brand Par",https://www.arbeitnow.com/jobs/companies/l1ve-gmbh/working-student-content-creation-berlin-349901,Marketing and Communication,2026-05-02,arbeitnow
Influencer & Social Media & PR-Manager (m/w/d),ad publica Public Relations GmbH,Hamburg,False,"<p><strong>Zur Verstärkung und für das weitere Wachstum unserer Agentur suchen wir einen Influencer &#x26; Social Media &#x26; PR-Manager (m/w/d).</strong></p>
<p>Du bist offen und neugierig, arbeites",https://www.arbeitnow.com/jobs/companies/ad-publica-public-relations-gmbh/influencer-social-media-pr-manager-hamburg-180753,"Public Relations, Corporate Communication",2026-05-02,arbeitnow
Technology Architect - Cloud Consulting (all genders),Accenture,Frankfurt am Main,False,"<p><strong>Deine Mission</strong></p>
<p>Als Technology Architect – Cloud Consulting bist du Teil eines hochkompetenten Teams, das jeden Tag aufs Neue Pionierarbeit leistet. Du entwickelst hochrelevan",https://www.arbeitnow.com/jobs/companies/accenture/technology-architect-cloud-consulting-all-genders-frankfurt-am-main-303578,Project Management,2026-05-02,arbeitnow
Consultant Microsoft 365/ Microsoft Cloud (m/w/d),ARES Consulting GmbH,Munich,True,<p>Seit unserer Gründung 2021 sind wir mit unserem Team aus technischen IT-Experten auf Wachstumskurs. Als cloud-native Company beraten und unterstützen wir Unternehmen und öffentliche Auftraggeber ha,https://www.arbeitnow.com/jobs/companies/ares-consulting-gmbh/consultant-microsoft-365-microsoft-cloud-munich-230387,"Remote, Consulting, Engineering",2026-05-02,arbeitnow
Senior Consultant Cloud & DevOps Engineering (m/w/d),ARES Consulting GmbH,Munich,True,<p>Seit unserer Gründung 2021 sind wir mit unserem Team aus technischen IT-Experten auf Wachstumskurs. Als cloud-native Company beraten und unterstützen wir Unternehmen und öffentliche Auftraggeber ha,https://www.arbeitnow.com/jobs/companies/ares-consulting-gmbh/senior-consultant-cloud-devops-engineering-munich-164813,"Remote, Consulting, Engineering",2026-05-02,arbeitnow
Werkstudent:in Finance Operations (m/w/d),Every.,Berlin,False,"<h2>Werkstudent:in Finance Operations (m/w/d)</h2>
<p><em>(auch als Minijob möglich)</em></p>
<p><strong>15–20 Stunden pro Woche · ab sofort · Berlin</strong></p>
<p>Bei Every. machen wir gesunde Ernä",https://www.arbeitnow.com/jobs/companies/every/werkstudentin-finance-operations-berlin-90099,Finance,2026-05-02,arbeitnow
Mitarbeiter:in Veranstaltungstechnik Basketball (all genders) kurzfristige Beschäftigung,ALBA BERLIN Basketballteam,Berlin,False,<p>Zur Unterstützung bei unseren Herren-Heimspielen suchen wir ab sofort eine:n engagierte Mitarbeiter:in Veranstaltungstechnik Basketball. Der Einsatz beginnt in der Regel etwa fünf Stunden vor Spiel,https://www.arbeitnow.com/jobs/companies/alba-berlin-basketballteam/mitarbeiterin-veranstaltungstechnik-basketball-all-genders-kurzfristige-beschaftigung-berlin-476150,IT,2026-05-02,arbeitnow
Technischer Projektmanager (m/w/d) Konstruktion & Produktion,CCS fabric frame,Düsseldorf,False,"<p>Willkommen bei CCS fabric frame, einem führenden Unternehmen in der Welt der visuellen Marken- und Designpräsentationen!</p>
<p>Als <strong>Technischer Projektmanager (m/w/d) – Konstruktion &#x26; ",https://www.arbeitnow.com/jobs/companies/ccs-fabric-frame/technischer-projektmanager-konstruktion-produktion-dusseldorf-184195,Engineering,2026-05-02,arbeitnow
Full Stack Web-Developer/Tester (m/w/d),IT-Labs GmbH,Fürth,False,"<p>Du willst nicht einfach Code schreiben – du willst Dinge bewegen. Bei IT-Labs arbeitest du an Alberta®, unserer Softwarelösung für die Homecarebranche, die täglich tausenden Pflegekräften ihren All",https://www.arbeitnow.com/jobs/companies/it-labs-gmbh/full-stack-web-developer-tester-furth-281028,Software Development,2026-05-02,arbeitnow
Senior Backend Engineer Applied AI Track (m/w/d)(Leipzig),MAIA,Leipzig,False,"<p>MAIA is the AI platform built for industrial companies, where generic AI tools break down because the data is complex, the stakes are high, and precision actually matters. We focus on the hard prob",https://www.arbeitnow.com/jobs/companies/maia/senior-backend-engineer-applied-ai-track-leipzig-388440,Engineering,2026-05-02,arbeitnow
Product Manager – BESS & PCS (f/m/d),STABL Energy,Munich,False,"<h2>Your Role</h2>
<p>As <strong>Product Manager for BESS &#x26; PCS</strong>, you will take end-to-end ownership of STABL’s outdoor energy storage systems product family and our proprietary power ele",https://www.arbeitnow.com/jobs/companies/stabl-energy/product-manager-bess-pcs-munich-400306,Project Management,2026-05-02,arbeitnow
