titre,entreprise,lieu,remote,description,lien,tags,date_scraping,source
"Steuerberater (m/w/d) in Tübingen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Taxtalente.de,Tübingen,False,"<p>TaxTalente ist die Nr. 1 Job-Matching Plattform für Jobsuchende in der Steuerberatung.</p>
<p>Sie suchen eine positive berufliche Veränderung? Sie möchten den nächsten Schritt in Ihrer Karriere geh",https://www.arbeitnow.com/jobs/companies/taxtalentede/steuerberater-in-tubingen-auf-wunsch-mit-partnerperspektive-gesucht-mindestens-90000eur-104773,"Directors, Chief Executives",2026-05-02,arbeitnow
Software Tester Testautomatisierung (m/w/d),MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „<strong>Software Tester Testautomatisierung (m/w/d)“.</strong></p>
<h2><strong>Aufgaben</strong><",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/software-tester-testautomatisierung-munich-389904,Software Development,2026-05-02,arbeitnow
Software Tester - Simulation & Training (m/w/d),MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Software Tester / QA Engineer Simulation &#x26; Training (m/w/d)“.</strong></p>
<h2><stro",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/software-tester-simulation-training-munich-422852,Software Development,2026-05-02,arbeitnow
Messtechniker / Kalibriertechniker (m/w/d),MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Messtechniker / Kalibriertechniker (m/w/d)“.</strong></p>
<h2><strong>Aufgaben</strong></",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/messtechniker-kalibriertechniker-munich-32420,Quality Management,2026-05-02,arbeitnow
Spezialist (m/w/d) - Drittmittelprüfung,MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Spezialist Fördermittelprüfung (m/w/d) - Drittmittel“</strong>.</p>
<h2><strong>Aufgaben<",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/spezialist-drittmittelprufung-munich-55079,Finance,2026-05-02,arbeitnow
Personalsachbearbeiter (m/w/d) in Teilzeit,MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „<strong>Personalsachbearbeiter (m/w/d) in Teilzeit</strong>“.</p>
<h2><strong>Aufgaben</strong></",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/personalsachbearbeiter-in-teilzeit-munich-287752,HR,2026-05-02,arbeitnow
Projektmanager (m/w/d) Sanierung,MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens im Müncher Norden suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Projektmanager (m/w/d) Sanierung“</strong></p>
<h2><strong>Aufgaben</strong></h2>
",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/projektmanager-sanierung-munich-363377,Project Management,2026-05-02,arbeitnow
Debitorenbuchhalter (m/w/d),MY Humancapital GmbH,Gräfelfing,False,"<p>Im Auftrag unseres Partnerunternehmens in Gräfelfing suchen wir Sie zum nächstmöglichen Zeitpunkt als „<strong>Debitorenbuchhalter (m/w/d)</strong>“.</p>
<h2><strong>Aufgaben</strong></h2>
<ul>
<li",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/debitorenbuchhalter-grafelfing-306822,Accounts Receivable,2026-05-02,arbeitnow
Controller (m/w/d) - Riskmanagement im Bankenwesen,MY Humancapital GmbH,Frankfurt am Main,False,"<p>Im Auftrag unseres Partnerunternehmens in Frankfurt am Main suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Controller (m/w/d) – Riskmanagement im Bankenwesen“.</strong></p>
<h2><strong>A",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/controller-riskmanagement-im-bankenwesen-frankfurt-am-main-370084,Controlling,2026-05-02,arbeitnow
IT Support Specialist (m/w/d) - 2nd Level,MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„IT Support Specialist (m/w/d) 2nd Level“.</strong></p>
<h2><strong>Aufgaben</strong></h2>",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/it-support-specialist-2nd-level-munich-194606,IT,2026-05-02,arbeitnow
